Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,A,LASSO_longshort,isotonic
2008-11-30,,,,A,LASSO_longshort,isotonic
2008-12-31,,,,A,LASSO_longshort,isotonic
2009-01-31,,,,A,LASSO_longshort,isotonic
2009-02-28,,,,A,LASSO_longshort,isotonic
2009-03-31,,,,A,LASSO_longshort,isotonic
2009-04-30,,,,A,LASSO_longshort,isotonic
2009-05-31,,,,A,LASSO_longshort,isotonic
2009-06-30,,,,A,LASSO_longshort,isotonic
2009-07-31,,,,A,LASSO_longshort,isotonic
2009-08-31,,,,A,LASSO_longshort,isotonic
2009-09-30,,,,A,LASSO_longshort,isotonic
2009-10-31,0.05796964902147709,-0.00025,0.05771964902147709,A,LASSO_longshort,isotonic
2009-11-30,0.05151446161633259,-8.116280928455725e-14,0.05151446161625142,A,LASSO_longshort,isotonic
2009-12-31,-0.04806185165278264,-1.5331714017270746e-12,-0.04806185165431581,A,LASSO_longshort,isotonic
2010-01-31,0.044795109398377095,-5.287393287149975e-13,0.04479510939784836,A,LASSO_longshort,isotonic
2010-02-28,0.04442780450417224,-0.00010000008084142453,0.04432780442333081,A,LASSO_longshort,isotonic
2010-03-31,0.03635052553104729,-0.000100000087291969,0.03625052544375532,A,LASSO_longshort,isotonic
2010-04-30,-0.04019419492978263,-0.00010000008644073308,-0.04029419501622336,A,LASSO_longshort,isotonic
2010-05-31,0.06412764985075659,-0.00039999999997814717,0.06372764985077843,A,LASSO_longshort,isotonic
2010-06-30,-0.07011056436476139,-4.3159287415589284e-14,-0.07011056436480455,A,LASSO_longshort,isotonic
2010-07-31,0.05748604453887648,-1.8550928674896221e-13,0.05748604453869097,A,LASSO_longshort,isotonic
2010-08-31,-0.07806812334194324,-0.00019999999986767392,-0.07826812334181091,A,LASSO_longshort,isotonic
2010-09-30,0.017799620938547416,-0.0002999999999885134,0.0174996209385589,A,LASSO_longshort,isotonic
2010-10-31,0.012565030630611705,-0.0003000000038985332,0.012265030626713172,A,LASSO_longshort,isotonic
2010-11-30,-0.04289657198304615,-0.0004999999996114958,-0.04339657198265765,A,LASSO_longshort,isotonic
2010-12-31,0.019251591607715324,-0.0003000000004665672,0.01895159160724876,A,LASSO_longshort,isotonic
2011-01-31,0.03911521309255029,-0.0003000000126182048,0.03881521307993208,A,LASSO_longshort,isotonic
2011-02-28,-0.01397135337895089,-0.0003999999999879091,-0.014371353378938799,A,LASSO_longshort,isotonic
2011-03-31,0.0023598694492653295,-0.00010000000012749828,0.0022598694491378314,A,LASSO_longshort,isotonic
2011-04-30,-0.005353934913018397,-0.00030000000008260225,-0.0056539349131009995,A,LASSO_longshort,isotonic
2011-05-31,-0.02301154740397425,-0.000100000000473184,-0.023111547404447434,A,LASSO_longshort,isotonic
2011-06-30,-0.014020609444757297,-5.989300863706269e-13,-0.014020609445356227,A,LASSO_longshort,isotonic
2011-07-31,-0.0639864910793951,-4.674854282713034e-13,-0.06398649107986258,A,LASSO_longshort,isotonic
2011-08-31,-0.09035233809990802,-1.1243871568442022e-12,-0.09035233810103241,A,LASSO_longshort,isotonic
2011-09-30,0.1255379929275029,-9.999999976140944e-05,0.1254379929277415,A,LASSO_longshort,isotonic
2011-10-31,-0.010754990405366678,-0.0001999999994506277,-0.010954990404817306,A,LASSO_longshort,isotonic
2011-11-30,0.009621321216735083,-0.0001000000001971786,0.009521321216537905,A,LASSO_longshort,isotonic
2011-12-31,0.0661752274979605,-0.00010000000047889547,0.0660752274974816,A,LASSO_longshort,isotonic
2012-01-31,0.03623824296669168,-0.0003000000001267947,0.035938242966564886,A,LASSO_longshort,isotonic
2012-02-29,0.0313994940524002,-0.00019999999979335007,0.03119949405260685,A,LASSO_longshort,isotonic
2012-03-31,0.001271265213136377,-4.902009456318107e-13,0.001271265212646176,A,LASSO_longshort,isotonic
2012-04-30,-0.06322035953963208,-0.00039999999995123434,-0.06362035953958331,A,LASSO_longshort,isotonic
2012-05-31,0.033144948252789325,-9.999999998269324e-05,0.033044948252806634,A,LASSO_longshort,isotonic
2012-06-30,0.005078682325961832,-9.99999999939759e-05,0.004978682325967857,A,LASSO_longshort,isotonic
2012-07-31,0.040253906589514735,-0.00010000000005965057,0.040153906589455085,A,LASSO_longshort,isotonic
2012-08-31,0.009695052107831717,-9.999999975254635e-05,0.00959505210807917,A,LASSO_longshort,isotonic
2012-09-30,-0.027961910534237227,-1.962299406794717e-12,-0.027961910536199525,A,LASSO_longshort,isotonic
2012-10-31,0.008986916426589543,-0.0002000000013520069,0.008786916425237535,A,LASSO_longshort,isotonic
2012-11-30,0.017005074677045973,-2.814717586550125e-12,0.017005074674231256,A,LASSO_longshort,isotonic
2012-12-31,0.055671444010552455,-0.000199999998376813,0.055471444012175644,A,LASSO_longshort,isotonic
2013-01-31,0.012763920314162468,-3.621552117617573e-13,0.012763920313800314,A,LASSO_longshort,isotonic
2013-02-28,0.038841082907605316,-0.00029999997060716594,0.03854108293699815,A,LASSO_longshort,isotonic
2013-03-31,0.02267925288251926,-9.999997202767468e-05,0.022579252910491586,A,LASSO_longshort,isotonic
2013-04-30,0.0078972840342115,-9.999999999783968e-05,0.0077972840342136595,A,LASSO_longshort,isotonic
2013-05-31,-0.016228652909088936,-0.00010000000000419495,-0.01632865290909313,A,LASSO_longshort,isotonic
2013-06-30,0.045915542754254676,-0.00010000000004728042,0.0458155427542074,A,LASSO_longshort,isotonic
2013-07-31,-0.03546415263225209,-0.00010000000451777746,-0.03556415263676987,A,LASSO_longshort,isotonic
2013-08-31,0.04279712832815252,-0.00020000000546778208,0.04259712832268474,A,LASSO_longshort,isotonic
2013-09-30,0.04116180210621723,-1.1469195894284902e-11,0.04116180209474803,A,LASSO_longshort,isotonic
2013-10-31,0.028166218032441993,-0.00010000001656072236,0.028066218015881272,A,LASSO_longshort,isotonic
2013-11-30,0.024716245235961658,-9.999999990711167e-05,0.024616245236054546,A,LASSO_longshort,isotonic
2013-12-31,-0.03390154619923131,-0.00019999999995514518,-0.034101546199186455,A,LASSO_longshort,isotonic
2014-01-31,0.048165161820451864,-0.00020000000025537684,0.047965161820196486,A,LASSO_longshort,isotonic
2014-02-28,-0.0036162887453021334,-0.0001000000003128726,-0.0037162887456150063,A,LASSO_longshort,isotonic
2014-03-31,-0.011769636312659044,-0.00029999999986403457,-0.012069636312523079,A,LASSO_longshort,isotonic
2014-04-30,0.019180329145738615,-0.00010000000005131147,0.019080329145687303,A,LASSO_longshort,isotonic
2014-05-31,0.03396345921264725,-0.0001000000000210018,0.03386345921262625,A,LASSO_longshort,isotonic
2014-06-30,-0.02487983687045677,-4.5789328224681414e-14,-0.02487983687050256,A,LASSO_longshort,isotonic
2014-07-31,0.04675729265220206,-0.00010000000001738521,0.04665729265218468,A,LASSO_longshort,isotonic
2014-08-31,-0.029784178917746578,-9.067952142839973e-14,-0.02978417891783726,A,LASSO_longshort,isotonic
2014-09-30,0.03820931765224325,-7.482280711752216e-14,0.03820931765216843,A,LASSO_longshort,isotonic
2014-10-31,0.03207420101967242,-0.00019999999999435189,0.03187420101967807,A,LASSO_longshort,isotonic
2014-11-30,-0.0023609395653423344,-9.999999996438459e-05,-0.002460939565306719,A,LASSO_longshort,isotonic
2014-12-31,-0.0065202028578092664,-0.000100000000014248,-0.006620202857823515,A,LASSO_longshort,isotonic
2015-01-31,0.06242637246563646,-0.00019999999995661016,0.06222637246567985,A,LASSO_longshort,isotonic
2015-02-28,-0.00311759412731575,-6.300374320367318e-13,-0.0031175941279457872,A,LASSO_longshort,isotonic
2015-03-31,-0.001436463568290608,-1.3326696373614475e-13,-0.0014364635684238748,A,LASSO_longshort,isotonic
2015-04-30,0.019648353857572257,-0.0001000000001130564,0.019548353857459202,A,LASSO_longshort,isotonic
2015-05-31,-0.013050139722852383,-0.00010000000005119548,-0.013150139722903579,A,LASSO_longshort,isotonic
2015-06-30,0.015453232448335326,-1.0612454000645444e-13,0.015453232448229201,A,LASSO_longshort,isotonic
2015-07-31,-0.06124241640896763,-0.00010000000056785003,-0.06134241640953548,A,LASSO_longshort,isotonic
2015-08-31,-0.030978054198439964,-0.00010000000542672136,-0.031078054203866685,A,LASSO_longshort,isotonic
2015-09-30,0.0841779030616736,-0.0001999999915764042,0.08397790307009718,A,LASSO_longshort,isotonic
2015-10-31,0.012423566882738716,-0.00019999999964407107,0.012223566883094644,A,LASSO_longshort,isotonic
2015-11-30,-0.021405684515957268,-0.00010000000010419488,-0.02150568451606146,A,LASSO_longshort,isotonic
2015-12-31,-0.05160831228843927,-0.00019999999989945164,-0.05180831228833872,A,LASSO_longshort,isotonic
2016-01-31,-0.004371853221093114,-0.00010000001047027102,-0.004471853231563384,A,LASSO_longshort,isotonic
2016-02-29,0.07538936609304922,-9.999998887897738e-05,0.07528936610417024,A,LASSO_longshort,isotonic
2016-03-31,-0.00693605824397478,-3.688790560051041e-11,-0.006936058280862686,A,LASSO_longshort,isotonic
2016-04-30,0.027357558101020835,-0.00010000000015498683,0.027257558100865848,A,LASSO_longshort,isotonic
2016-05-31,0.007380034190655319,-9.999999916509966e-05,0.00728003419149022,A,LASSO_longshort,isotonic
2016-06-30,0.05489242476260081,-1.575440220482951e-12,0.05489242476102537,A,LASSO_longshort,isotonic
2016-07-31,0.0008209642129702988,-2.625334207042713e-13,0.0008209642127077654,A,LASSO_longshort,isotonic
2016-08-31,0.004634683965548016,-1.929706545681929e-14,0.004634683965528719,A,LASSO_longshort,isotonic
2016-09-30,-0.032693456025018816,-3.555951711328548e-14,-0.03269345602505438,A,LASSO_longshort,isotonic
2016-10-31,0.04956881380000526,-0.00010000000051146066,0.0494688137994938,A,LASSO_longshort,isotonic
2016-11-30,0.015706421300279293,-0.0001000000003634948,0.015606421299915798,A,LASSO_longshort,isotonic
2016-12-31,0.02533071107811963,-0.00010000000022511147,0.02523071107789452,A,LASSO_longshort,isotonic
2017-01-31,0.031244951011771955,-2.1605041538510607e-13,0.031244951011555906,A,LASSO_longshort,isotonic
2017-02-28,0.00638516743363902,-3.2534020315792246e-13,0.00638516743331368,A,LASSO_longshort,isotonic
2017-03-31,0.01450047736548208,-8.83393694894728e-13,0.014500477364598686,A,LASSO_longshort,isotonic
2017-04-30,0.00905651398667088,-4.497749717964801e-12,0.009056513982173131,A,LASSO_longshort,isotonic
2017-05-31,0.006725795605053578,-0.00010000000024160401,0.006625795604811974,A,LASSO_longshort,isotonic
2017-06-30,0.021264019621444037,-7.346168245235245e-13,0.02126401962070942,A,LASSO_longshort,isotonic
2017-07-31,0.0017958450577369328,-9.999999998718914e-05,0.0016958450577497437,A,LASSO_longshort,isotonic
2017-08-31,0.030348973213046155,-6.176427865538922e-13,0.030348973212428514,A,LASSO_longshort,isotonic
2017-09-30,0.032863856402187364,-5.518550868101458e-12,0.03286385639666881,A,LASSO_longshort,isotonic
2017-10-31,0.030012205619258107,-0.00019999999888152702,0.02981220562037658,A,LASSO_longshort,isotonic
2017-11-30,0.001738315865094052,-0.00019999999944728553,0.0015383158656467665,A,LASSO_longshort,isotonic
2017-12-31,0.053320313521351415,-0.00010000000090822234,0.053220313520443194,A,LASSO_longshort,isotonic
2018-01-31,-0.02234044051018478,-0.00030000000007488576,-0.022640440510259666,A,LASSO_longshort,isotonic
2018-02-28,-0.020438842939864553,-0.00010000002727790288,-0.020538842967142455,A,LASSO_longshort,isotonic
2018-03-31,0.0035296572065772218,-9.999997467259203e-05,0.0034296572319046296,A,LASSO_longshort,isotonic
2018-04-30,0.050610345950010405,-0.00010000000034214782,0.05051034594966826,A,LASSO_longshort,isotonic
2018-05-31,0.008477788801693649,-9.08962638250021e-13,0.008477788800784687,A,LASSO_longshort,isotonic
2018-06-30,0.025017608040391933,-0.00010000000008066398,0.02491760804031127,A,LASSO_longshort,isotonic
2018-07-31,0.04310528085345875,-0.0002999999998941232,0.04280528085356463,A,LASSO_longshort,isotonic
2018-08-31,0.002034384333868818,-0.00010000000027566544,0.0019343843335931528,A,LASSO_longshort,isotonic
2018-09-30,-0.07191375694014741,-0.0001000000004664418,-0.07201375694061385,A,LASSO_longshort,isotonic
2018-10-31,0.011218918290548541,-0.00010000000177022344,0.011118918288778317,A,LASSO_longshort,isotonic
2018-11-30,-0.08809277944725458,-0.00030000000162637354,-0.08839277944888095,A,LASSO_longshort,isotonic
2018-12-31,0.09024720713367143,-0.00039999999979068476,0.08984720713388075,A,LASSO_longshort,isotonic
2019-01-31,0.02949015350820156,-0.00019999999996494783,0.029290153508236612,A,LASSO_longshort,isotonic
2019-02-28,0.02135754155483431,-0.00020000000024516268,0.021157541554589147,A,LASSO_longshort,isotonic
2019-03-31,0.028619574767357887,-9.999999988530846e-05,0.028519574767472577,A,LASSO_longshort,isotonic
2019-04-30,-0.07042614686098067,-0.0002999999999183461,-0.07072614686089902,A,LASSO_longshort,isotonic
2019-05-31,0.059610527420443635,-0.00020000000482935215,0.059410527415614284,A,LASSO_longshort,isotonic
2019-06-30,0.017634647340556874,-0.00020000000001063278,0.01743464734054624,A,LASSO_longshort,isotonic
2019-07-31,-0.02087827692031999,-0.000299999999905162,-0.021178276920225152,A,LASSO_longshort,isotonic
2019-08-31,0.007889889753195689,-0.00039999999930241475,0.007489889753893274,A,LASSO_longshort,isotonic
2019-09-30,0.026042697048736,-0.00010000000053054457,0.025942697048205458,A,LASSO_longshort,isotonic
