Date,Universe,Model,Calib,Ticker,Weight
2008-10-31,ALL,RF_longonly,isotonic,BITW,
2008-11-30,ALL,RF_longonly,isotonic,BITW,
2008-12-31,ALL,RF_longonly,isotonic,BITW,
2009-01-31,ALL,RF_longonly,isotonic,BITW,
2009-02-28,ALL,RF_longonly,isotonic,BITW,
2009-03-31,ALL,RF_longonly,isotonic,BITW,
2009-04-30,ALL,RF_longonly,isotonic,BITW,
2009-05-31,ALL,RF_longonly,isotonic,BITW,
2009-06-30,ALL,RF_longonly,isotonic,BITW,
2009-07-31,ALL,RF_longonly,isotonic,BITW,
2009-08-31,ALL,RF_longonly,isotonic,BITW,
2009-09-30,ALL,RF_longonly,isotonic,BITW,
2009-10-31,ALL,RF_longonly,isotonic,BITW,5.198285135321787e-13
2009-11-30,ALL,RF_longonly,isotonic,BITW,1.2720673975100132e-13
2009-12-31,ALL,RF_longonly,isotonic,BITW,4.229907100432211e-12
2010-01-31,ALL,RF_longonly,isotonic,BITW,2.6188905649499836e-12
2010-02-28,ALL,RF_longonly,isotonic,BITW,2.3820694909178117e-11
2010-03-31,ALL,RF_longonly,isotonic,BITW,1.8039800016665205e-12
2010-04-30,ALL,RF_longonly,isotonic,BITW,2.62194377334599e-12
2010-05-31,ALL,RF_longonly,isotonic,BITW,8.796424741865855e-12
2010-06-30,ALL,RF_longonly,isotonic,BITW,0.033333333331491355
2010-07-31,ALL,RF_longonly,isotonic,BITW,3.481526229136237e-11
2010-08-31,ALL,RF_longonly,isotonic,BITW,2.2390304731390058e-11
2010-09-30,ALL,RF_longonly,isotonic,BITW,5.67786690951992e-13
2010-10-31,ALL,RF_longonly,isotonic,BITW,4.619387303125595e-12
2010-11-30,ALL,RF_longonly,isotonic,BITW,1.1394693528632778e-12
2010-12-31,ALL,RF_longonly,isotonic,BITW,1.0806590031195687e-13
2011-01-31,ALL,RF_longonly,isotonic,BITW,5.740812224150571e-13
2011-02-28,ALL,RF_longonly,isotonic,BITW,8.181675057920568e-13
2011-03-31,ALL,RF_longonly,isotonic,BITW,1.3029436670674056e-12
2011-04-30,ALL,RF_longonly,isotonic,BITW,1.5154123222956576e-12
2011-05-31,ALL,RF_longonly,isotonic,BITW,5.027094994272879e-12
2011-06-30,ALL,RF_longonly,isotonic,BITW,6.585478080034475e-12
2011-07-31,ALL,RF_longonly,isotonic,BITW,9.527335637048898e-12
2011-08-31,ALL,RF_longonly,isotonic,BITW,3.5177554027757466e-12
2011-09-30,ALL,RF_longonly,isotonic,BITW,1.1222936816313686e-12
2011-10-31,ALL,RF_longonly,isotonic,BITW,1.9747614236082648e-13
2011-11-30,ALL,RF_longonly,isotonic,BITW,0.03636363636491758
2011-12-31,ALL,RF_longonly,isotonic,BITW,1.3316109630374707e-12
2012-01-31,ALL,RF_longonly,isotonic,BITW,3.068025890682305e-12
2012-02-29,ALL,RF_longonly,isotonic,BITW,5.014630793703126e-12
2012-03-31,ALL,RF_longonly,isotonic,BITW,4.267239544218972e-12
2012-04-30,ALL,RF_longonly,isotonic,BITW,4.400140586091939e-12
2012-05-31,ALL,RF_longonly,isotonic,BITW,5.634341984116812e-12
2012-06-30,ALL,RF_longonly,isotonic,BITW,3.289698734347493e-12
2012-07-31,ALL,RF_longonly,isotonic,BITW,1.765803650075109e-12
2012-08-31,ALL,RF_longonly,isotonic,BITW,3.248407118398542e-12
2012-09-30,ALL,RF_longonly,isotonic,BITW,3.2722415632374023e-12
2012-10-31,ALL,RF_longonly,isotonic,BITW,3.4206335791327323e-12
2012-11-30,ALL,RF_longonly,isotonic,BITW,2.5690297108830564e-12
2012-12-31,ALL,RF_longonly,isotonic,BITW,6.008419782807533e-12
2013-01-31,ALL,RF_longonly,isotonic,BITW,1.7184394221316696e-12
2013-02-28,ALL,RF_longonly,isotonic,BITW,8.682048372812842e-12
2013-03-31,ALL,RF_longonly,isotonic,BITW,7.38276054210206e-12
2013-04-30,ALL,RF_longonly,isotonic,BITW,1.5967159393653456e-12
2013-05-31,ALL,RF_longonly,isotonic,BITW,1.0902111980722527e-11
2013-06-30,ALL,RF_longonly,isotonic,BITW,1.1624472316337891e-11
2013-07-31,ALL,RF_longonly,isotonic,BITW,1.5999326686009196e-12
2013-08-31,ALL,RF_longonly,isotonic,BITW,1.8115491816014217e-12
2013-09-30,ALL,RF_longonly,isotonic,BITW,2.99876083535627e-12
2013-10-31,ALL,RF_longonly,isotonic,BITW,6.98600353810862e-13
2013-11-30,ALL,RF_longonly,isotonic,BITW,2.267315487583483e-12
2013-12-31,ALL,RF_longonly,isotonic,BITW,9.32119709691415e-13
2014-01-31,ALL,RF_longonly,isotonic,BITW,2.7445318665796024e-12
2014-02-28,ALL,RF_longonly,isotonic,BITW,5.318178549522035e-13
2014-03-31,ALL,RF_longonly,isotonic,BITW,1.7734603783266003e-12
2014-04-30,ALL,RF_longonly,isotonic,BITW,3.929149683569368e-13
2014-05-31,ALL,RF_longonly,isotonic,BITW,1.1587525289191041e-12
2014-06-30,ALL,RF_longonly,isotonic,BITW,9.38824744154084e-13
2014-07-31,ALL,RF_longonly,isotonic,BITW,5.857824474783357e-13
2014-08-31,ALL,RF_longonly,isotonic,BITW,1.5362522925264282e-12
2014-09-30,ALL,RF_longonly,isotonic,BITW,6.6532318294046e-12
2014-10-31,ALL,RF_longonly,isotonic,BITW,9.111439983096546e-13
2014-11-30,ALL,RF_longonly,isotonic,BITW,1.6736256365504264e-11
2014-12-31,ALL,RF_longonly,isotonic,BITW,3.0356819832201075e-12
2015-01-31,ALL,RF_longonly,isotonic,BITW,3.1945957368497348e-12
2015-02-28,ALL,RF_longonly,isotonic,BITW,4.995898405001544e-13
2015-03-31,ALL,RF_longonly,isotonic,BITW,3.72080599096221e-12
2015-04-30,ALL,RF_longonly,isotonic,BITW,9.197295038715612e-13
2015-05-31,ALL,RF_longonly,isotonic,BITW,1.95923230616666e-13
2015-06-30,ALL,RF_longonly,isotonic,BITW,8.287956710529251e-12
2015-07-31,ALL,RF_longonly,isotonic,BITW,7.96232311155248e-13
2015-08-31,ALL,RF_longonly,isotonic,BITW,3.034332794994172e-13
2015-09-30,ALL,RF_longonly,isotonic,BITW,3.9832271073657015e-13
2015-10-31,ALL,RF_longonly,isotonic,BITW,4.045146342029182e-13
2015-11-30,ALL,RF_longonly,isotonic,BITW,2.9488229906325722e-12
2015-12-31,ALL,RF_longonly,isotonic,BITW,3.7378101530797114e-13
2016-01-31,ALL,RF_longonly,isotonic,BITW,1.8024393623751342e-13
2016-02-29,ALL,RF_longonly,isotonic,BITW,4.0324556118384557e-13
2016-03-31,ALL,RF_longonly,isotonic,BITW,1.848073096074708e-12
2016-04-30,ALL,RF_longonly,isotonic,BITW,3.422677853385797e-12
2016-05-31,ALL,RF_longonly,isotonic,BITW,1.0590071676569059e-11
2016-06-30,ALL,RF_longonly,isotonic,BITW,3.661407541960524e-12
2016-07-31,ALL,RF_longonly,isotonic,BITW,2.2912353993135847e-12
2016-08-31,ALL,RF_longonly,isotonic,BITW,6.24119348774585e-13
2016-09-30,ALL,RF_longonly,isotonic,BITW,4.1338581684826105e-12
2016-10-31,ALL,RF_longonly,isotonic,BITW,4.791810742793631e-13
2016-11-30,ALL,RF_longonly,isotonic,BITW,5.872191254843879e-12
2016-12-31,ALL,RF_longonly,isotonic,BITW,8.062707952738214e-13
2017-01-31,ALL,RF_longonly,isotonic,BITW,5.845344585542115e-13
2017-02-28,ALL,RF_longonly,isotonic,BITW,2.090079398171839e-13
2017-03-31,ALL,RF_longonly,isotonic,BITW,5.478179783931381e-12
2017-04-30,ALL,RF_longonly,isotonic,BITW,1.6319182398328535e-12
2017-05-31,ALL,RF_longonly,isotonic,BITW,2.6720916353394007e-13
2017-06-30,ALL,RF_longonly,isotonic,BITW,1.4768166503014512e-12
2017-07-31,ALL,RF_longonly,isotonic,BITW,9.395541548731602e-12
2017-08-31,ALL,RF_longonly,isotonic,BITW,9.711471381100448e-13
2017-09-30,ALL,RF_longonly,isotonic,BITW,4.260110177254571e-13
2017-10-31,ALL,RF_longonly,isotonic,BITW,1.725425767424431e-13
2017-11-30,ALL,RF_longonly,isotonic,BITW,2.239130264400882e-12
2017-12-31,ALL,RF_longonly,isotonic,BITW,7.427427857531369e-13
2018-01-31,ALL,RF_longonly,isotonic,BITW,1.909086038277686e-12
2018-02-28,ALL,RF_longonly,isotonic,BITW,7.160219844886672e-13
2018-03-31,ALL,RF_longonly,isotonic,BITW,7.238132536315288e-13
2018-04-30,ALL,RF_longonly,isotonic,BITW,9.986671992632186e-13
2018-05-31,ALL,RF_longonly,isotonic,BITW,6.25118713659552e-12
2018-06-30,ALL,RF_longonly,isotonic,BITW,6.654979274791097e-13
2018-07-31,ALL,RF_longonly,isotonic,BITW,1.376151226878754e-12
