,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,5.198285135321787e-13,5.198285135321787e-13,5.198285135321787e-13,5.198285135321787e-13,5.198285135321787e-13,1.5585907960193165e-12,5.198285135321787e-13,0.19999999999921964,0.19999999998073162,1.7259443512822837e-12,3.1800127885745305e-12,0.19999999999353282,0.1999999999991093,2.3465857533078698e-12,2.795793828388321e-12,3.14605591017702e-12,6.183756500307798e-12,0.19999999998096582,5.198285135321787e-13,5.198285135321787e-13,8.259698967661062e-13,1.48960068044895e-12,5.198285135321787e-13,2.5519231679508546e-12,2.396783895541101e-12,5.198285135321787e-13,1.597699423783565e-12,1.1790296630520442e-12,5.198285135321787e-13,5.198285135321787e-13,5.198285135321787e-13,5.198285135321787e-13,3.5188020023379313e-12,1.2839418563355293e-12,1.1076972623652132e-12,2.2750020883099115e-12
2009-11-30,1.2720673975100132e-13,1.2720673975100132e-13,1.2720673975100132e-13,1.2720673975100132e-13,1.2720673975100132e-13,2.998785283721314e-13,1.2720673975100132e-13,0.19999999998751722,0.1999999999970763,3.582691554876695e-13,1.8317257648894512e-12,0.19999999999332985,0.19999999999836626,7.807842437623577e-13,5.342690776908669e-13,9.785889833899522e-13,1.548905026331272e-12,0.19999999999484355,1.2720673975100132e-13,1.2720673975100132e-13,2.547917036378406e-13,3.191793727258953e-13,1.2720673975100132e-13,5.042981134710622e-13,6.600229549817422e-12,1.2720673975100132e-13,3.521442976769036e-13,3.080468766781103e-13,1.2720673975100132e-13,1.2720673975100132e-13,1.2720673975100132e-13,1.2720673975100132e-13,1.7232839049089049e-12,9.979857925621261e-12,2.953636414222827e-13,4.163967241034476e-13
2009-12-31,4.229907100432211e-12,4.229907100432211e-12,4.229907100432211e-12,4.229907100432211e-12,4.229907100432211e-12,1.2225400274716347e-11,4.229907100432211e-12,3.839645672807593e-11,4.82304624262905e-11,1.0122508776437111e-11,2.43129360792468e-10,0.199999999972609,0.19999999998202375,3.424076247973976e-11,3.2199230937105805e-11,2.0968472455302288e-11,9.628665011701174e-11,0.19999999997366008,4.229907100432211e-12,4.229907100432211e-12,1.3505349760876048e-11,1.5923713479328314e-11,4.229907100432211e-12,1.507124751534531e-10,0.19999999925120968,4.229907100432211e-12,2.4782531570314412e-11,1.1808671008531154e-11,4.229907100432211e-12,4.229907100432211e-12,4.229907100432211e-12,4.229907100432211e-12,2.0170982195616752e-11,0.1999999999650305,1.0029368729317309e-11,1.3515875980328737e-11
2010-01-31,2.6188905649499836e-12,2.6188905649499836e-12,2.6188905649499836e-12,2.6188905649499836e-12,2.6188905649499836e-12,1.9757265763650885e-12,2.6188905649499836e-12,0.19999999998851314,1.8277770890060423e-12,1.0280306161825513e-12,0.1999999999484926,0.1999999999857171,1.994849045963993e-12,2.1216403893699816e-12,1.46086695224201e-12,1.7974658474478512e-12,2.3152279636959372e-12,0.19999999999891968,2.6188905649499836e-12,2.6188905649499836e-12,1.379268650885877e-11,2.56064107011895e-12,2.6188905649499836e-12,3.722160590602495e-12,3.5917317415884487e-12,2.6188905649499836e-12,3.693958763744389e-12,1.9373804996177148e-12,2.6188905649499836e-12,2.6188905649499836e-12,2.6188905649499836e-12,2.6188905649499836e-12,1.7964578741950339e-12,0.19999999999222634,1.9891996719806973e-12,1.8609165177115094e-12
2010-02-28,2.3820694909178117e-11,2.3820694909178117e-11,2.3820694909178117e-11,2.3820694909178117e-11,2.3820694909178117e-11,6.722135919246389e-12,2.3820694909178117e-11,2.9568573291098885e-11,3.204041763845576e-12,2.056714768122956e-12,6.500842161099159e-11,6.064060908507333e-12,4.398538040444912e-12,3.2926056605987172e-12,3.7279643486543475e-12,2.4410409198092975e-12,3.170294746457913e-12,0.19999999999423945,2.3820694909178117e-11,2.3820694909178117e-11,0.19999999977883043,0.19999999979877653,2.3820694909178117e-11,5.037184553693966e-11,0.1999999998925229,2.3820694909178117e-11,2.3662482164292387e-11,7.362366043895832e-12,2.3820694909178117e-11,2.3820694909178117e-11,2.3820694909178117e-11,2.3820694909178117e-11,4.005695822244164e-12,0.1999999999636419,1.1286504695499127e-11,1.2155925324627611e-11
2010-03-31,1.8039800016665205e-12,1.8039800016665205e-12,1.8039800016665205e-12,1.8039800016665205e-12,9.786596464710837e-13,3.815935979426582e-12,1.8039800016665205e-12,0.19999999999220358,2.403203771113132e-12,1.620850368202485e-12,8.701870696600716e-11,2.5138468510766067e-12,1.9254515336250515e-12,1.7757331393056082e-12,2.078471657150034e-12,1.6964557919317805e-12,1.8599449215582625e-12,1.5483962001333487e-11,1.8039800016665205e-12,1.8039800016665205e-12,0.1999999999895398,0.1999999997484995,1.8039800016665205e-12,7.467756890249074e-12,1.1600689093064144e-10,1.8039800016665205e-12,0.1999999999876324,3.2352422373062175e-12,1.8039800016665205e-12,1.8039800016665205e-12,1.8039800016665205e-12,1.8039800016665205e-12,2.23762200246616e-12,0.19999999999849966,3.659891784127846e-12,4.394915149263113e-12
2010-04-30,2.62194377334599e-12,2.62194377334599e-12,2.62194377334599e-12,2.62194377334599e-12,1.2312493420624205e-12,4.072532548265307e-12,2.62194377334599e-12,0.1999999999835705,1.4247304305544839e-12,7.459551529661312e-13,2.631395010224009e-12,1.6395093246670014e-12,1.2123545291248128e-12,9.30955729588885e-13,1.806831170616778e-12,9.489820473997972e-13,1.0420980703071906e-12,0.19999999999368595,2.62194377334599e-12,2.62194377334599e-12,0.19999999999019355,0.19999999982299668,2.62194377334599e-12,1.4120849417940696e-10,8.355935406784494e-12,2.62194377334599e-12,1.2345139927495188e-11,3.959003483687815e-12,2.62194377334599e-12,2.62194377334599e-12,2.62194377334599e-12,2.62194377334599e-12,1.4237226351487898e-12,0.1999999999824678,3.344489843478055e-12,4.676756357844313e-12
2010-05-31,8.796424741865855e-12,8.796424741865855e-12,8.796424741865855e-12,8.796424741865855e-12,6.450763796654862e-13,5.491478930115195e-12,8.796424741865855e-12,1.1119444466703384e-11,1.1784249258390955e-12,4.921024832461355e-13,2.0331701349284187e-12,1.35218336204661e-12,6.901953177366124e-13,7.059367408121509e-13,1.2294986248898818e-12,7.670070621132015e-13,7.723394214680376e-13,0.1999999999976077,8.796424741865855e-12,8.796424741865855e-12,0.1999999999913302,0.19999999989694148,8.796424741865855e-12,1.4222917522306773e-11,1.4024336278309361e-11,8.796424741865855e-12,0.19999999994091472,4.500219979126849e-12,8.796424741865855e-12,8.796424741865855e-12,8.796424741865855e-12,3.1188975945362544e-13,1.1560346807435077e-12,0.19999999999666926,5.66130802408691e-12,4.625906437910333e-12
2010-06-30,0.033333333331491355,0.033333333331491355,0.033333333331491355,0.033333333331491355,6.566741676548963e-14,5.504844136034815e-13,0.033333333331491355,0.1999999999997046,1.708927677953748e-13,6.812797483811241e-14,4.4638576476918165e-13,1.5504741218954113e-13,8.49902112736148e-14,1.0736677784037179e-13,1.9031979596573643e-13,1.026057554677197e-13,9.401049151950602e-14,0.19999999999978343,0.033333333331491355,0.033333333331491355,3.5589450871837014e-13,2.1225010356554536e-12,0.033333333331491355,4.734705135609331e-13,8.656432344620438e-13,0.033333333331491355,1.70927706199823e-11,3.04830317949407e-13,0.033333333331491355,0.033333333331491355,0.033333333331491355,4.9333858274205844e-14,1.420186174372276e-13,0.19999999999853513,3.999247276966213e-13,2.3839631123532406e-13
2010-07-31,3.481526229136237e-11,3.481526229136237e-11,3.481526229136237e-11,3.481526229136237e-11,4.931153540480642e-12,0.19999999978670915,3.481526229136237e-11,0.19999999998452625,4.6947539855778765e-12,4.0173809405517424e-12,1.6722128693869728e-11,6.2798840781515396e-12,6.4054383186615715e-12,5.403641128760644e-12,6.898707839282603e-12,4.3207675231507325e-12,4.369852955153994e-12,0.19999999999353524,3.481526229136237e-11,3.481526229136237e-11,3.173201716537995e-11,2.473551138170407e-11,3.481526229136237e-11,1.000759388925991e-11,1.245218635965465e-11,3.481526229136237e-11,0.19999999963954868,1.436561183832635e-11,3.481526229136237e-11,3.481526229136237e-11,3.481526229136237e-11,2.3376869085905535e-12,6.2525770386961794e-12,0.1999999999868718,1.286320306292587e-11,1.2235798741368092e-11
2010-08-31,2.2390304731390058e-11,2.2390304731390058e-11,2.2390304731390058e-11,2.2390304731390058e-11,2.5520680777671528e-12,0.1999999997348914,2.2390304731390058e-11,2.377833095879485e-10,4.94117416300002e-12,4.358767727066499e-12,0.19999999971201526,8.727058787455763e-12,1.5937302014844766e-11,5.795643954212359e-12,1.8494286574390212e-11,6.484624347384566e-12,5.022216951547646e-12,0.19999999999724957,2.2390304731390058e-11,2.2390304731390058e-11,7.853867754845048e-12,2.107271985378338e-11,2.2390304731390058e-11,1.9986852613687502e-11,2.377397008702611e-11,2.2390304731390058e-11,0.19999999986302378,1.2049127650025483e-11,2.2390304731390058e-11,2.2390304731390058e-11,2.2390304731390058e-11,1.2174106609814147e-12,1.2485835093410859e-11,0.19999999998839638,1.2703373604911071e-11,1.4500416073000514e-11
2010-09-30,5.67786690951992e-13,5.67786690951992e-13,5.67786690951992e-13,5.67786690951992e-13,5.995750823752387e-13,2.315159890954957e-12,5.67786690951992e-13,0.1999999999992563,2.6049061045636417e-12,1.8653510326112884e-12,5.96238255115239e-12,0.1999999999956515,0.19999999985865516,6.746473957154876e-11,3.5494921899169677e-12,3.210372319086516e-12,2.963062789547957e-12,1.1770238923060717e-10,5.67786690951992e-13,5.67786690951992e-13,2.071061899629993e-12,3.650384409693972e-12,5.67786690951992e-13,2.225677908398534e-12,2.55072122771006e-12,5.67786690951992e-13,0.1999999999115011,1.5275134146293396e-12,5.67786690951992e-13,5.67786690951992e-13,5.67786690951992e-13,3.494761660170982e-13,7.038085236155677e-12,0.1999999999975609,1.234165475473697e-12,1.6772157946461569e-12
2010-10-31,4.619387303125595e-12,4.619387303125595e-12,4.619387303125595e-12,4.619387303125595e-12,7.913254727932592e-12,1.5620528322919858e-11,4.619387303125595e-12,0.1999999999783685,6.67682883505249e-11,1.6074067159630463e-11,2.6657980218544668e-11,1.7901250440094005e-11,0.19999999980485347,0.19999999980319466,2.022794344077583e-11,2.859041945971278e-11,2.0027748310321317e-11,0.19999999999002424,4.619387303125595e-12,4.619387303125595e-12,1.4310673070311185e-11,2.813246473831552e-11,4.619387303125595e-12,1.525179329854502e-10,0.19999999983482497,4.619387303125595e-12,1.612371691101259e-11,1.4539684675286614e-11,4.619387303125595e-12,4.619387303125595e-12,4.619387303125595e-12,4.031201402997947e-12,2.697334975660885e-11,1.9302497885569038e-11,9.82997247748746e-12,2.7758650831879217e-11
2010-11-30,1.1394693528632778e-12,1.1394693528632778e-12,1.1394693528632778e-12,1.1394693528632778e-12,7.518799612884289e-13,3.3040973220497126e-12,1.1394693528632778e-12,0.19999999999655713,2.224918498441149e-12,7.86480329394487e-13,4.415575972647754e-12,1.1876594203717666e-12,9.048384004170717e-13,1.2490537688530631e-12,2.0722263975686652e-12,1.0459672044752463e-12,8.796847423858473e-13,0.199999999997379,1.1394693528632778e-12,1.1394693528632778e-12,0.19999999999025864,0.1999999999968277,1.1394693528632778e-12,1.649631711959057e-11,3.220542353756317e-11,1.1394693528632778e-12,2.4021833437117723e-11,3.966887403335033e-12,1.1394693528632778e-12,1.1394693528632778e-12,1.1394693528632778e-12,7.08558020139346e-13,1.8143222806378924e-12,0.19999999989347403,2.229134626902682e-12,1.1564984872468439e-11
